Country Name,Country Code,Access to electricity (% of population),"Fertility rate, total (births per woman)",GDP per capita (current US$),"Life expectancy at birth, total (years)",Region
Nepal,NPL,93.92,1.9169999999999998,1038.6516470296801,70.47800000000001,South Asia
Nauru,NRU,99.8389739990234,,9762.38930182711,,East Asia & Pacific
New Zealand,NZL,100.0,1.71,42949.9305849512,81.85853658536591,East Asia & Pacific
OECD members,OED,99.9976667197127,1.6867594659933898,39329.5857604541,80.0775295859723,
Oman,OMN,100.0,2.888,16521.1822816125,77.633,Middle East & North Africa
Other small states,OSS,77.34628232871891,3.0496811389627405,14382.7979768801,68.5469317038401,
Pakistan,PAK,71.09154670080271,3.51,1482.30566684338,67.11399999999999,South Asia
Panama,PAN,100.0,2.461,15592.573678921999,78.329,Latin America & Caribbean
Peru,PER,95.2,2.254,6941.235847630121,76.516,Latin America & Caribbean
Philippines,PHL,94.8572311401367,2.576,3252.09232413346,71.095,East Asia & Pacific
Palau,PLW,100.0,,15660.674596526498,,East Asia & Pacific
Papua New Guinea,PNG,58.967357635498,3.5639999999999996,2801.37399744404,64.263,East Asia & Pacific
Poland,POL,100.0,1.46,15468.4822194105,77.60243902439029,Europe & Central Asia
Pre-demographic dividend,PRE,48.39636644460071,4.939726584645331,1455.98228944785,60.8209562953764,
Puerto Rico,PRI,100.0,1.035,31621.893470000497,79.7781951219512,Latin America & Caribbean
"Korea, Dem. People’s Rep.",PRK,48.4908256530762,1.9040000000000001,,72.095,East Asia & Pacific
Portugal,PRT,100.0,1.42,23562.5545228191,81.3243902439024,Europe & Central Asia
Paraguay,PRY,100.0,2.4290000000000003,5805.67561638869,74.131,Latin America & Caribbean
West Bank and Gaza,PSE,100.0,3.6430000000000002,3562.3309427025606,73.895,Middle East & North Africa
Pacific island small states,PSS,85.5013588439046,3.5152278373114,4341.14352379779,69.929057966298,
Post-demographic dividend,PST,100.0,1.55168011758748,45319.2612196524,80.6598920018751,
French Polynesia,PYF,100.0,1.9409999999999998,,77.462,East Asia & Pacific
Qatar,QAT,100.0,1.8659999999999999,65908.0669010848,80.1,Middle East & North Africa
Romania,ROU,100.0,1.76,12399.889335731,75.35853658536591,Europe & Central Asia
Russian Federation,RUS,100.0,1.57,11370.813455931398,72.6573170731707,Europe & Central Asia
Rwanda,RWA,34.7165718078613,4.044,783.287184222986,68.7,Sub-Saharan Africa
South Asia,SAS,91.6219918283442,2.3847496707405798,1898.97100423962,69.4122476461494,
Saudi Arabia,SAU,100.0,2.319,23338.9634580718,74.998,Middle East & North Africa
Sudan,SDN,59.7835350036621,4.407,623.867252394076,65.095,Sub-Saharan Africa
Senegal,SEN,66.95944976806639,4.625,1465.5910064019101,67.665,Sub-Saharan Africa
Singapore,SGP,100.0,1.14,66188.7793961798,83.14634146341459,East Asia & Pacific
Solomon Islands,SLB,66.6660995483398,4.4030000000000005,2441.51739308263,72.835,East Asia & Pacific
Sierra Leone,SLE,26.1,4.263,533.991184258936,54.309,Sub-Saharan Africa
El Salvador,SLV,100.0,2.039,4067.6594488115397,73.096,Latin America & Caribbean
San Marino,SMR,100.0,,48995.142001902306,,Europe & Central Asia
Somalia,SOM,35.2555351257324,6.072,,57.068000000000005,Sub-Saharan Africa
Serbia,SRB,100.0,1.49,7252.401857739921,75.890243902439,Europe & Central Asia
Sub-Saharan Africa (excluding high income),SSA,47.6031066115232,4.697543181414099,1583.5130557509601,61.2565331327445,
South Sudan,SSD,28.201856613159197,4.696000000000001,,57.604,Sub-Saharan Africa
Sub-Saharan Africa,SSF,47.666318416192595,4.69324343789147,1596.14708318246,61.27301464857929,
Small states,SST,81.6587557003439,2.8740025570045398,13013.7513684515,69.5411324592597,
Sao Tome and Principe,STP,71.0,4.321000000000001,1953.58828993582,70.17,Sub-Saharan Africa
Suriname,SUR,97.4,2.418,6015.16460686684,71.57,Latin America & Caribbean
Slovak Republic,SVK,100.0,1.54,19406.3475337924,77.2658536585366,Europe & Central Asia
Slovenia,SVN,100.0,1.6,26115.9133661854,81.37804878048779,Europe & Central Asia
Sweden,SWE,100.0,1.76,54589.0603860606,82.5585365853659,Europe & Central Asia
Eswatini,SWZ,76.5039825439453,2.99,4106.1971526456,59.401,Sub-Saharan Africa
Sint Maarten (Dutch part),SXM,100.0,,29160.1038110689,,Latin America & Caribbean
Seychelles,SYC,100.0,2.41,16390.8249080053,72.84146341463409,Sub-Saharan Africa
Syrian Arab Republic,SYR,86.0,2.8080000000000003,,71.779,Middle East & North Africa
Turks and Caicos Islands,TCA,100.0,,29554.705960440697,,Latin America & Caribbean
Chad,TCD,11.7593555450439,5.747000000000001,726.149881109447,53.977,Sub-Saharan Africa
East Asia & Pacific (IDA & IBRD countries),TEA,98.3832071206151,1.8761948419581398,8055.42956281708,75.2492291135899,
Europe & Central Asia (IDA & IBRD countries),TEC,99.98611982804941,1.8429985819580599,8894.62964846169,74.0376029005072,
Togo,TGO,51.3452835083008,4.32,679.97276057805,60.76,Sub-Saharan Africa
Thailand,THA,100.0,1.525,7295.47561612095,76.931,East Asia & Pacific
Tajikistan,TJK,99.3,3.585,826.6215305387041,70.87899999999999,Europe & Central Asia
Turkmenistan,TKM,100.0,2.786,6966.63541063077,68.07300000000001,Europe & Central Asia
Latin America & the Caribbean (IDA & IBRD countries),TLA,98.2889714737471,2.0384879421537097,8934.49818332295,75.3574154976003,
Timor-Leste,TLS,85.5918350219727,4.023,1230.2281911588,69.26,East Asia & Pacific
Middle East & North Africa (IDA & IBRD countries),TMN,95.81008559312441,2.8784472651793,3975.0484365874895,73.5836428053412,
Tonga,TON,98.8926010131836,3.556,4740.79214895188,70.801,East Asia & Pacific
South Asia (IDA & IBRD),TSA,91.6219918283442,2.3847496707405798,1898.97100423962,69.4122476461494,
Sub-Saharan Africa (IDA & IBRD countries),TSS,47.666318416192595,4.69324343789147,1596.14708318246,61.27301464857929,
Trinidad and Tobago,TTO,100.0,1.725,17129.9130902577,73.38,Latin America & Caribbean
Tunisia,TUN,99.8,2.197,3438.7890891462703,76.505,Middle East & North Africa
Turkey,TUR,100.0,2.069,9455.59365384828,77.437,Europe & Central Asia
Tuvalu,TUV,100.0,,3700.74426252192,,East Asia & Pacific
Tanzania,TZA,35.55897903442379,4.8919999999999995,1060.99461489421,65.015,Sub-Saharan Africa
Uganda,UGA,42.65,4.955,770.452453254239,62.973,Sub-Saharan Africa
Ukraine,UKR,100.0,1.301,3096.81740221352,71.5826829268293,Europe & Central Asia
Upper middle income,UMC,99.42321215405892,1.89741845695253,8906.20354398557,75.32898497630029,
Uruguay,URY,100.0,1.973,17277.9701105496,77.77,Latin America & Caribbean
United States,USA,100.0,1.7295,62996.4712852605,78.5390243902439,North America
Uzbekistan,UZB,100.0,2.419,1529.0828635133498,71.57300000000001,Europe & Central Asia
St. Vincent and the Grenadines,VCT,100.0,1.891,7361.4009618002,72.415,Latin America & Caribbean
"Venezuela, RB",VEN,100.0,2.272,,72.128,Latin America & Caribbean
British Virgin Islands,VGB,100.0,,,,Latin America & Caribbean
Virgin Islands (U.S.),VIR,100.0,2.06,,79.5682926829268,Latin America & Caribbean
Vietnam,VNM,100.0,2.049,2566.59694958511,75.317,East Asia & Pacific
Vanuatu,VUT,61.8647689819336,3.782,3125.25798900649,70.32300000000001,East Asia & Pacific
World,WLD,89.5703144950123,2.41497365215906,11385.5528697407,72.56328188999109,
Samoa,WSM,100.0,3.877,4188.52834612851,73.187,East Asia & Pacific
Kosovo,XKX,100.0,2.0,4419.91432698449,72.1951219512195,Europe & Central Asia
"Yemen, Rep.",YEM,62.0,3.792,824.1176287290939,66.096,Middle East & North Africa
South Africa,ZAF,91.2298736572266,2.405,6374.02819575944,63.857,Sub-Saharan Africa
Zambia,ZMB,39.8126220703125,4.633,1516.39066079862,63.51,Sub-Saharan Africa
Zimbabwe,ZWE,41.0415840148926,3.615,1683.74057709465,61.195,Sub-Saharan Africa
